見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2017-秋 特集「ＮＡＮＧＡ 俗を去り自ら娯しむ」,展示,?12月17日,,,,一般510円　学生300円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「アメリカへ渡った二人 国吉康雄と石垣栄太郎」 ,展示,10月7日?12月24日 ,,,,一般510円　学生301円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,特別展「道成寺と日高川－道成寺縁起と流域の宗教文化－」 ,展示,10月14日?11月26日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:31まで）,休館／月曜（祝日の場合次の平日）,企画展「南葵音楽文庫 音楽の殿様・頼貞の楽譜コレクション」,展示,12月3日～平成30年1月21日,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,秋期特別展「道が織りなす旅と文化」 ,展示,?11月26日,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,特別展リレー講演（4）,イベント,11月11日13:30?15:00,,小学生以上,50人（先着順）,,事前申込,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,学芸員講座「岩橋千塚（3）」,イベント,11月25日13:30?15:30,,小学生以上,30人（先着順）,,11月9日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,おしえて！！ヤマゲン先生（4）万葉歌と古代の草木花ガイド,イベント,11月26日10:00?12:00,,小学生以上,30人（先着順）,,11月10日13:00?,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,おはなし会（3）,イベント,11月18日15:00?15:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,モササウルスの化石調査に参加しよう！,イベント,12月3日 13:00?16:00,長谷川地区（有田川町）,小学生以上（小学生は保護者同伴）,30人（抽選）,200円,11月19日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,大人の夜の水族館,イベント,12月22日20:00?22:30,,18歳以上,30人（抽選）,,12月8日まで,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,第50回寒らん展,展示,11月11・12日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,11月の寄せ植え教室,イベント,11月12日,,,39人（先着順）,"1,800円",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,野生ラン展,展示,11月11・12日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,寒らん遅咲き展,展示,11月25・26日,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,冬の洋ラン展,イベント,12月8?10日,,,,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「チョークアート クリスマスブーツ」,イベント,12月3日13:00?15:00,,小学生以上（小学生は保護者同伴）,15人（先着順）,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「クリスマスのプレゼントを作ろう！」（1）ポーセラーツ,イベント,11月19日10:00?12:00,,小学生以上（小学生は保護者同伴）,各20人（先着順）,"コップ1,000円、お皿1,300円、その他2,500円",事前申込 ,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「クリスマスのプレゼントを作ろう！」（2）押し花額,イベント,11月19日13:00?15:00,,小学生以上（小学生は保護者同伴）,各20人（先着順）,"2,000円 事前申込",事前申込 ,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,季節のおはなし会あかちゃんといっしょに楽しもう～あき～,イベント,11月15日10:30?、11:00?,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,「きのくに県民カレッジ」認定証授与式・講演会,イベント,11月25日13:00?15:00,,,150人（先着順）,,事前申込（当日参加も可）,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜, 南葵音楽文庫プレ・オープン記念演奏会、講演会,イベント,（1）平成30年1月21日（2）3月4日13:30?15:30,,,各60人（先着順）,,12月1日?,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会,,10月4･8･22日、11月4･12･26日11:00? ,,,,,【譲渡会は常時開催しています。】 ,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,,（1）11月4・12・26日、12月1・10・24日11:00?（2）11月10日11:00?（3）11月30日13:00?,（1）県動物愛護センター（2）新宮保健所串本支所（3）橋本保健所,,,"譲渡を受けるには受講と、犬については狂犬病予防注射代 2,640円が必要です。",,入場無料
